Date Added,Name,Time,Artist,Album,Genre,Rating,Plays,Last Played
"4/2/11, 10:02 AM",Ocean,5:33,Michelangelo & Syntheticsax,I MAY,Äàíñèíã-ìóçûêà,,3,"6/10/13, 8:39 AM"
"4/22/11, 6:57 PM",Touch the Stars,6:10,Chris Young The Rapper & Rossy (Vibe),www.GoodMusicAllDay.com,Acoustic,,3,
"10/7/13, 6:53 PM",Tin Man,4:19,Animal Kingdom,Signs and Wonders,Alternative,,1,"10/28/11, 3:49 PM"
"10/7/13, 6:53 PM",I Know What I Am,3:18,Band of Skulls,I Know What I Am - Single of the Week,Alternative,,5,"9/5/13, 2:44 PM"
"4/9/14, 8:36 PM",This Is What It Feels Like,5:02,Banks,London - EP,Alternative,,14,"4/24/14, 6:26 PM"
"6/12/13, 9:21 AM",Pompeii (Monsieur Adi Remix),4:24,Bastille,Et Musique Pour Tous,Alternative,,16,"12/7/13, 10:21 PM"
"10/7/13, 6:53 PM",E-Pro,3:24,Beck,Guero,Alternative,,9,"10/16/13, 8:55 AM"
"10/7/13, 6:53 PM",Detroit,4:04,Black Gold,Tragedy & Legacy - EP,Alternative,,3,"6/10/13, 9:49 AM"
"10/7/13, 6:53 PM",Detroit,4:05,Black Gold,Tragedy & Legacy - EP,Alternative,,1,"10/31/13, 5:29 PM"
"10/7/13, 6:53 PM",I'm Not Gonna Teach Your Boyfriend How to Dance With You,3:40,Black Kids,Partie Traumatic,Alternative,,5,"3/27/13, 6:08 PM"
"10/7/13, 6:53 PM",The Bad Touch,4:21,Bloodhound Gang,Hooray for Boobies,Alternative,,8,"6/8/13, 3:42 PM"
"10/7/13, 6:53 PM",Calgary,4:10,Bon Iver,Bon Iver,Alternative,,3,"6/10/13, 7:39 AM"
"10/7/13, 6:53 PM",I Ran (So Far Away),2:35,Bowling for Soup,Drunk Enough to Dance (Bonus Tracks),Alternative,,3,"10/31/14, 5:08 PM"
"10/7/13, 6:53 PM",The High Road,3:52,Broken Bells,The High Road - Single,Alternative,,22,"2/7/13, 6:53 PM"
"9/19/13, 8:47 AM",I Belong In Your Arms,3:27,Chairlift,Something,Alternative,,15,"10/20/13, 7:52 PM"
"10/7/13, 6:53 PM",Don't Turn the Lights On,4:35,Chromeo,,Alternative,,,
"4/9/14, 8:36 PM",Another Time,6:00,City of the Sun,Live at the Factory - EP,Alternative,,12,"4/24/14, 6:34 PM"
"4/9/14, 8:36 PM",Razon,4:21,City of the Sun,Live at the Factory - EP,Alternative,,11,"7/21/14, 7:41 PM"
"10/7/13, 6:53 PM",Microphone,2:53,Coconut Records,Davy,Alternative,,10,"4/21/11, 6:45 PM"
"10/7/13, 6:53 PM",Any Fun,2:56,Coconut Records,Davy,Alternative,,8,
"10/7/13, 6:53 PM",West Coast,3:32,Coconut Records,Nighttiming,Alternative,,14,"10/4/12, 10:30 AM"
"10/7/13, 6:53 PM",Welcome Home,6:15,Coheed & Cambria,Good Apollo I'm Burning Star IV Vol. 1 - From Fear Through the Eyes of Madness,Alternative,,2,
"10/7/13, 6:53 PM",Mylo Xyloto,0:42,Coldplay,Mylo Xyloto,Alternative,,4,
"10/7/13, 6:53 PM",Hurts Like Heaven,4:02,Coldplay,Mylo Xyloto,Alternative,,4,"11/29/11, 8:45 PM"
"10/7/13, 6:53 PM",Paradise,4:38,Coldplay,Mylo Xyloto,Alternative,,7,"8/26/12, 10:29 AM"
"10/7/13, 6:53 PM",Charlie Brown,4:45,Coldplay,Mylo Xyloto,Alternative,,6,"6/9/13, 2:47 AM"
"10/7/13, 6:53 PM",Us Against the World,4:00,Coldplay,Mylo Xyloto,Alternative,,3,
"10/7/13, 6:53 PM",M.M.I.X.,0:48,Coldplay,Mylo Xyloto,Alternative,,4,"10/26/11, 5:26 PM"
"10/7/13, 6:53 PM",Every Teardrop Is a Waterfall,4:01,Coldplay,Mylo Xyloto,Alternative,,5,"8/24/12, 1:34 PM"
"10/7/13, 6:53 PM",Major Minus,3:30,Coldplay,Mylo Xyloto,Alternative,,5,"10/26/11, 5:25 PM"
"10/7/13, 6:53 PM",U.F.O.,2:18,Coldplay,Mylo Xyloto,Alternative,,4,"3/10/13, 12:32 AM"
"10/7/13, 6:53 PM",Up in Flames,3:13,Coldplay,Mylo Xyloto,Alternative,,2,
"10/7/13, 6:53 PM",A Hopeful Transmission,0:33,Coldplay,Mylo Xyloto,Alternative,,7,"12/5/13, 4:43 AM"
"10/7/13, 6:53 PM",Don't Let It Break Your Heart,3:54,Coldplay,Mylo Xyloto,Alternative,,6,"6/9/13, 10:10 AM"
"10/7/13, 6:53 PM",Up With the Birds,3:46,Coldplay,Mylo Xyloto,Alternative,,5,"4/21/14, 11:00 AM"
"10/7/13, 6:53 PM",Politik,5:19,Coldplay,A Rush of Blood to the Head,Alternative,,4,"6/10/13, 2:19 AM"
"10/7/13, 6:53 PM",In My Place,3:49,Coldplay,A Rush of Blood to the Head,Alternative,,3,"1/26/13, 3:52 PM"
"10/7/13, 6:53 PM",God Put a Smile upon Your Face,4:57,Coldplay,A Rush of Blood to the Head,Alternative,,3,"4/19/11, 5:16 PM"
"10/7/13, 6:53 PM",The Scientist,5:09,Coldplay,A Rush of Blood to the Head,Alternative,,6,"10/23/13, 12:52 PM"
"10/7/13, 6:53 PM",Clocks,5:07,Coldplay,A Rush of Blood to the Head,Alternative,,9,"6/10/13, 8:50 AM"
"10/7/13, 6:53 PM",Daylight,5:28,Coldplay,A Rush of Blood to the Head,Alternative,,2,
"10/7/13, 6:53 PM",Green Eyes,3:43,Coldplay,A Rush of Blood to the Head,Alternative,,2,"10/10/13, 1:43 PM"
"10/7/13, 6:53 PM",Warning Sign,5:31,Coldplay,A Rush of Blood to the Head,Alternative,,3,"6/3/12, 3:22 AM"
"10/7/13, 6:53 PM",A Whisper,3:58,Coldplay,A Rush of Blood to the Head,Alternative,,1,
"10/7/13, 6:53 PM",A Rush of Blood to the Head,5:51,Coldplay,A Rush of Blood to the Head,Alternative,,3,"2/7/13, 6:16 PM"
"10/7/13, 6:53 PM",Amsterdam,5:19,Coldplay,A Rush of Blood to the Head,Alternative,,1,"9/12/14, 3:01 PM"
"10/7/13, 6:53 PM",Life In Technicolor,2:29,Coldplay,Viva la Vida,Alternative,,2,"2/22/12, 11:05 PM"
"10/7/13, 6:53 PM",Cemeteries of London,3:21,Coldplay,Viva la Vida,Alternative,,3,"9/27/11, 11:41 AM"
"10/7/13, 6:53 PM",Lost!,3:55,Coldplay,Viva la Vida,Alternative,,4,"9/11/14, 2:36 PM"
"10/7/13, 6:53 PM",42,3:57,Coldplay,Viva la Vida,Alternative,,3,"6/8/13, 4:26 PM"
"10/7/13, 6:53 PM",Lovers In Japan / Reign Of Love,6:51,Coldplay,Viva la Vida,Alternative,,2,"4/27/11, 7:04 PM"
"10/7/13, 6:53 PM",Yes,7:07,Coldplay,Viva la Vida,Alternative,,2,
"10/7/13, 6:53 PM",Violet Hill,3:43,Coldplay,Viva la Vida,Alternative,,2,"5/2/11, 6:48 PM"
"10/7/13, 6:53 PM",Strawberry Swing,4:10,Coldplay,Viva la Vida,Alternative,,2,
"10/7/13, 6:53 PM",Death and All His Friends,6:24,Coldplay,Viva la Vida,Alternative,,4,"6/10/13, 9:38 AM"
"10/7/13, 6:53 PM",Lost?,3:42,Coldplay,Viva la Vida,Alternative,,3,"7/2/12, 10:07 AM"
"10/7/13, 6:53 PM",Viva la Vida,4:04,Coldplay,Viva la Vida or Death and All His Friends,Alternative,,7,"10/23/13, 11:55 AM"
"10/7/13, 6:53 PM",Square One,4:48,Coldplay,X & Y,Alternative,,2,"10/25/12, 10:21 PM"
"10/7/13, 6:53 PM",What If,4:57,Coldplay,X & Y,Alternative,,3,"6/8/13, 8:14 PM"
"10/7/13, 6:53 PM",White Shadows,5:28,Coldplay,X & Y,Alternative,,2,
"10/7/13, 6:53 PM",Fix You,4:55,Coldplay,X & Y,Alternative,,1,"10/11/11, 11:52 PM"
"10/7/13, 6:53 PM",Talk,5:11,Coldplay,X & Y,Alternative,,4,"10/10/11, 1:23 PM"
"10/7/13, 6:53 PM",X & Y,4:34,Coldplay,X & Y,Alternative,,9,"12/12/13, 6:03 PM"
"10/7/13, 6:53 PM",Speed of Sound,4:48,Coldplay,X & Y,Alternative,,4,"10/15/13, 8:31 AM"
"10/7/13, 6:53 PM",A Message,4:45,Coldplay,X & Y,Alternative,,4,"11/18/13, 10:30 AM"
"10/7/13, 6:53 PM",Low,5:32,Coldplay,X & Y,Alternative,,3,
"10/7/13, 6:53 PM",The Hardest Part,4:25,Coldplay,X & Y,Alternative,,1,"9/21/11, 10:37 PM"
"10/7/13, 6:53 PM",Swallowed In the Sea,3:59,Coldplay,X & Y,Alternative,,5,"6/9/13, 9:00 AM"
"10/7/13, 6:53 PM",Twisted Logic,4:32,Coldplay,X & Y,Alternative,,1,"4/30/11, 2:06 AM"
"10/7/13, 6:53 PM",Till Kingdom Come,4:11,Coldplay,X & Y,Alternative,,1,
"10/7/13, 6:53 PM",Princess of China,3:59,Coldplay & Rihanna,Mylo Xyloto,Alternative,,10,"10/12/13, 6:21 PM"
"10/7/13, 6:53 PM",Mmm Mmm Mmm Mmm,3:55,Crash Test Dummies,God Shuffled His Feet,Alternative,,8,"12/11/13, 2:44 PM"
"11/28/12, 5:19 PM",The Outcast (PillowTalk's Live Acoustic Cover),5:30,DJ Tennis,JustExcellentBeats.com,Alternative,,8,"2/15/13, 10:42 AM"
"10/7/13, 6:53 PM",Home,5:06,Edward Sharpe & The Magnetic Zeros,Up From Below (Deluxe Edition),Alternative,,41,"10/11/13, 4:58 PM"
